,,,,,,,,,
City,order id,Date,Store Code,Basket size,Delivery Fee,Cost per order (CPO),Distance in km (pick up to delivery),Courier waiting time (mins),Courier waiting time (mins)
BCN,230,2025-06-10,264652,17,1.7,3.2,1,3.9,3.9
BCN,231,2025-06-10,74118,16.4,4.5,6.9,4.7,5.4,5.4
BCN,232,2025-06-10,248266,19.1,2.1,3.9,1.6,4.6,4.6
MAD,233,2025-06-10,34310,16.6,1.5,2.6,0.6,4.6,4.6
BCN,234,2025-06-10,66944,11.8,1.9,3.6,1.5,3.8,3.8
MAD,235,2025-06-10,205036,3.3,1.9,3.2,1.5,4.6,4.6
MAD,236,2025-06-09,205036,8.5,3.6,6.2,4.2,6,6
BCN,237,2025-06-09,65231,17.5,2,3.7,1.5,4,4
MAD,238,2025-06-09,74119,8.5,2.6,3.6,2.3,2.9,2.9
BCN,239,2025-06-09,66944,15.7,2.6,4,2.1,4.3,4.3
BCN,240,2025-06-09,264652,7.1,2.1,3.9,1.5,3.6,3.6
BCN,241,2025-06-09,259875,19.7,1.9,3.6,1.3,3.8,3.8
BCN,242,2025-06-09,74118,8,3.7,4.7,3.3,1.3,1.3
MAD,243,2025-06-09,61499,11.1,2.5,4.5,2.3,3.4,3.4
MAD,244,2025-06-09,46515,17.5,1.5,2.8,0.7,3.5,3.5
MAD,245,2025-06-09,105408,17.2,2.4,3.3,2,5.2,5.2
BCN,246,2025-06-09,248266,17.8,2.1,3.9,1.6,3.8,3.8
MAD,247,2025-06-09,34310,15.4,1.4,2.3,0.5,3.2,3.2
BCN,248,2025-06-09,264651,13.9,1.1,2.6,0.2,2.5,2.5
BCN,249,2025-06-08,74118,10.9,2.1,4.4,1.2,6.4,6.4
MAD,250,2025-06-08,205036,10.5,2.3,4.2,2.2,5.7,5.7
BCN,251,2025-06-08,264651,10.6,1.2,4.1,0.3,2.2,2.2
MAD,252,2025-06-08,34310,17.2,1.4,2.3,0.6,5,5
MAD,253,2025-06-08,105408,18.8,2.6,3.6,2.4,6.2,6.2
BCN,254,2025-06-08,65231,17.1,2,3.4,1.5,4.6,4.6
MAD,255,2025-06-08,46515,16.8,1.5,2.7,0.8,4.1,4.1
MAD,256,2025-06-08,61499,13.6,2.5,4.2,2.3,4.6,4.6
BCN,257,2025-06-08,259875,17.4,1.9,3.7,1.4,4.2,4.2
BCN,258,2025-06-08,264652,9.9,1.9,3.7,1.3,3.2,3.2
MAD,259,2025-06-08,74119,6.8,2.1,3.3,1.6,4,4
BCN,260,2025-06-08,248266,17.3,2,3.8,1.5,4.5,4.5
BCN,261,2025-06-08,66944,17.4,2.3,4.2,1.9,4.2,4.2
MAD,262,2025-06-07,61499,11.4,2.9,6.3,2.7,5.2,5.2
MAD,263,2025-06-07,105408,16.8,2.5,3.4,2.2,5.6,5.6
BCN,264,2025-06-07,264652,11.6,1.8,3.8,1.6,1.8,1.8
BCN,265,2025-06-07,264651,10.4,1.2,3.5,0.7,2.5,2.5
BCN,266,2025-06-07,66944,10.9,2.8,4.3,2.7,5.1,5.1
MAD,267,2025-06-07,74119,10.1,1.9,3,1.1,4,4
BCN,268,2025-06-07,248266,19.3,2,3.7,1.4,4.1,4.1
BCN,269,2025-06-07,259875,18.4,2,3.7,1.5,4.3,4.3
BCN,270,2025-06-07,65231,17.7,1.9,3.5,1.4,4.5,4.5
MAD,271,2025-06-07,46515,17.2,1.5,2.7,0.8,4,4
MAD,272,2025-06-07,205036,6,2.5,3.7,1.8,2.9,2.9
MAD,273,2025-06-07,34310,19.7,1.4,2.3,0.7,4.1,4.1
MAD,274,2025-06-06,74119,9.4,2,3.3,1.5,5.6,5.6
BCN,275,2025-06-06,264652,12.6,1.3,3,0.8,2.4,2.4
MAD,276,2025-06-06,46515,20.8,1.4,2.9,0.7,4,4
MAD,277,2025-06-06,61499,15.4,2.2,4.1,1.8,4,4
BCN,278,2025-06-06,259875,19.9,2,4,1.5,4,4
MAD,279,2025-06-06,34310,19.9,1.3,2.9,0.6,2.9,2.9
BCN,280,2025-06-06,66944,17,1.9,3.7,1.4,3.8,3.8
BCN,281,2025-06-06,248266,22.1,1.9,3.9,1.4,4.1,4.1
BCN,282,2025-06-06,65231,19.9,1.8,3.5,1.2,3.6,3.6
MAD,283,2025-06-06,105408,21.9,2.8,4.4,2.8,5.2,5.2
BCN,284,2025-06-06,264651,10.6,1.6,3.4,1.1,3,3
MAD,285,2025-06-06,205036,4,1.6,3.3,0.8,6.8,6.8
MAD,286,2025-06-05,34310,19.6,1.2,3.2,0.5,4.3,4.3
BCN,287,2025-06-05,248266,19.5,1.9,3.9,1.3,4.4,4.4
MAD,288,2025-06-05,205036,8.8,3.1,7.8,2.8,6.7,6.7
BCN,289,2025-06-05,264651,17.7,0.8,2.5,0.3,2.3,2.3
BCN,290,2025-06-05,264652,13.7,1.9,3.1,1.3,2.1,2.1
BCN,291,2025-06-05,66944,12.9,2.1,4,1.8,4.4,4.4
BCN,292,2025-06-05,259875,22.7,1.8,4.1,1.4,3.7,3.7
BCN,293,2025-06-05,65231,18.6,1.9,3.6,1.4,3.7,3.7
MAD,294,2025-06-05,74119,6,1.8,3.4,1.3,5.4,5.4
BCN,295,2025-06-05,74118,13.8,1.9,3.6,1.3,5,5
MAD,296,2025-06-05,61499,14.2,2.6,4.3,2.2,5.9,5.9
MAD,297,2025-06-05,105408,22.4,2.6,4.3,2.5,6.8,6.8
MAD,298,2025-06-05,46515,21.8,1.6,3,0.9,4.2,4.2
BCN,299,2025-06-04,248266,19.3,1.9,3.4,1.3,4.2,4.2
MAD,300,2025-06-04,105408,19.6,2.6,3.4,2.4,5.9,5.9
BCN,301,2025-06-04,65231,19.3,1.8,3.3,1.3,4.1,4.1
MAD,302,2025-06-04,74119,7.5,1.6,3,1.2,4.4,4.4
MAD,303,2025-06-04,34310,19.3,1.3,2.5,0.6,7.4,7.4
BCN,304,2025-06-04,264652,9.9,1.9,3.2,1.2,3,3
MAD,305,2025-06-04,205036,4,2.9,3.4,2.5,7.9,7.9
BCN,306,2025-06-04,259875,19.1,2,3.7,1.5,4.3,4.3
BCN,307,2025-06-04,66944,12,2.8,3.9,2.4,2.9,2.9
MAD,308,2025-06-04,61499,8.3,2.8,3.6,2.2,1.7,1.7
BCN,309,2025-06-04,264651,17,1.1,2.9,0.6,2.4,2.4
MAD,310,2025-06-04,46515,19.4,1.6,2.9,0.9,4.2,4.2
MAD,311,2025-06-03,46515,16.7,1.6,2.7,0.8,4,4
BCN,312,2025-06-03,74118,4.5,2.5,8,1.7,5.1,5.1
MAD,313,2025-06-03,74119,11.8,1.6,3.7,1,3.2,3.2
BCN,314,2025-06-03,264651,14.5,1.6,3.6,1.1,2.8,2.8
BCN,315,2025-06-03,259875,18.1,1.9,3.4,1.3,4.7,4.7
BCN,316,2025-06-03,248266,18.4,2.1,3.7,1.6,4.1,4.1
MAD,317,2025-06-03,105408,17.8,2.6,3.5,2.4,5.9,5.9
MAD,318,2025-06-03,61499,8.7,2.2,4.1,1.7,5.2,5.2
MAD,319,2025-06-03,34310,15.6,1.3,2.4,0.6,3.5,3.5
BCN,320,2025-06-03,264652,11.7,1.1,3,0.5,4.2,4.2
MAD,321,2025-06-03,205036,8,2.9,3.9,2.5,15.9,15.9
BCN,322,2025-06-03,65231,18.4,2,3.8,1.4,4.5,4.5
BCN,323,2025-06-03,66944,13.6,2.2,3.9,1.6,4.4,4.4
MAD,324,2025-06-02,46515,17.7,1.5,2.6,0.8,3.7,3.7
